단어		뜻									
encompass		원을 이루다/ 둘러싸다/									
idiomatic		관용적인									
co·erce	kōˈərs	1. 지배하다	2. 강제하다								
grapheme		문자소									
diacritic		글자의 위나 아래에 찍어 기존의 철자와는 다른 발음이나 의미를 부여하는 기호									
goodies		매력적이거나 즐거운 것으로 간주되는 물건/ 보상/ 상금									
homogeneous		동종의/동질의									
on behalf		~대신하여/~을 위해여/~대표하여									
in behalf of 		~을(돕기)위해									
invariant	ˌinˈverēənt	불변									
Downside		불리한 면/ 단점									
deterministic		결정론적인									
humble		보잘것없는/ 천한/ 변변찮은.									
inadequate		1. 부적당한									
portion		부분(덩어리)									
proportion		부분(1비율적)									
negate		부정하다									
imprecise		1. 애매한/ 모호한/ 부정확한.									
in·ter·fere		간섭하다방해하다									
terminology		용어									
ideology		관념론									
Suppose		아래에(sup=sub=under) 두다(pose=put/ place)'라는 그림에서 '가정하다/ 상상하다/ 추측하다/ 생각하다/ 전제로 하다/ 만약~하다면									
domestic		1. 국내의 2. 가정(용)의/ 집안의 3. 가정적인									
pathetic		1. 서투른	2. 감상적인								
fondle		정스럽게 다루다/ 다정스럽게 어루만지다)"는 "fond(특히 좋아하는/ 다정하게 대하는)" + "handle(다루다/...)"									
pester		자꾸 귀찮게 하다									
Spoiler		망치다/ 망쳐버리다'									
additive		1.부가적인. 2.첨가물. 3.덧셈의									
at most		많아 봤자'	기껏 해야/ 많아야								
gloss over		~대해 얼버무리고 넘어가다/ · 둘러대다/ 속이다									
elide		생략하다	무효화하다/ 없애다								
intuitive		직관적									
imposes		부과하다/ 가하다									
analogous		유사한									
be opposed to + sth		~에 반대하는/									
as opposed to		~와는 대조적으로 / ~가 아니라									
opaque		불투명한, 광택없는, 충충한, 우둔한.									
barring		어떤 일만 아니라면' '어떤 일을 제외하고									
